Review,Categoría
"Great product, tastes great, nice and smooth, but I think I spilled some and slipped cleaning it up. I woke up in my neighbors toy hauler covered in Vaseline and don’t remember a thing?????",Calidad
Probably the best price around for this American classic. If you don’t have Jack Daniels in your home bar then your home bar is not complete.,"Precio, Experiencia General"
Delivery professional and on time.,Entrega
Great sour mash. Good on a budget too.,Calidad
"It is very good, but I think I like the honey one more.",Calidad
It’s jack 🤷🏼‍♀️ What can I say,Experiencia General
You know what it is. You will love it or hate it. Or hate yourself the next morning. Got it for a great price during the holidays.,Precio
What's there to say except I got my JD delivered and didn't have to put on clothes to go out and get it!,Otros
"Gostei bastante do produto que ja virou minha opção principal de whisky, gosto bastante das notas de canela e por que não é tão forte, não tem aquele cheiro de alcool que queima o nariz. É um burbon de excelente qualidade e voltarei a comprar novamente.","Sabor, Calidad"
Whisky americano que no está al nivel de los de Escocia pero por el precio la calidad que ofrece es muy buena y se puede combinar de varias formas lo volveré a comprar sin dudarlo.,"Precio, Calidad"
kamm super an,Otros
"O Jack é o ""bacon"" dos whiskeys! Jack é vida!!! #JacóForever",Experiencia General
Cámara morros ya se la saben!! El pomo Jack Daniel's te va a poner bien persa!! Pero siendo original no temas a qué te vayas a desconectar y menos quedarte ciego. Pues comprenlo perros y pónganse hasta tras!! Ah!! No le pegues a la banda si!!!,Experiencia General
"Great product, tastes great, nice and smooth, but I think I spilled some and slipped cleaning it up. I woke up in my neighbors toy hauler covered in Vaseline and don’t remember a thing?????",Calidad
Probably the best price around for this American classic. If you don’t have Jack Daniels in your home bar then your home bar is not complete.,"Precio, Experiencia General"
Delivery professional and on time.,Entrega
Great sour mash. Good on a budget too.,Calidad
"It is very good, but I think I like the honey one more.",Calidad
It’s jack 🤷🏼‍♀️ What can I say,Experiencia General
You know what it is. You will love it or hate it. Or hate yourself the next morning. Got it for a great price during the holidays.,Precio
What's there to say except I got my JD delivered and didn't have to put on clothes to go out and get it!,Otros
I love JD!,Otros
Thank you..,Otros
